# fs=395.8 rpm=11333
timestamp_ms,az,current_A,rpm
1650,11.4149,-0.0482,11737
1652,7.4138,-0.0017,11737
1655,8.3945,-0.1784,11737
1657,10.9442,-0.0711,11737
1660,11.5718,-0.1263,11737
1662,7.5707,0.0678,11737
1665,8.2376,0.0290,11737
1667,11.8072,0.1209,11737
1670,10.2774,0.1074,11737
1672,8.5122,-0.0118,11737
1675,6.7470,-0.0073,11737
1677,12.7094,-0.1257,11737
1680,11.1404,-0.0414,11737
1682,9.6105,-0.1932,11737
1685,6.7470,-0.0255,11737
1687,11.6895,-0.0033,11737
1690,11.5326,-0.0014,11737
1692,8.9829,0.0649,11737
1695,7.2177,0.0782,11737
1698,9.7282,0.1332,11737
1700,11.9249,0.0454,11737
1703,7.8845,0.0903,11737
1705,6.9039,-0.0022,11737
1708,9.3752,-0.0540,11737
1710,11.8857,-0.1026,11737
1713,9.8067,-0.0878,11737
1715,6.7077,0.0105,11737
1718,10.1597,-0.0485,11737
1720,11.7288,0.0648,11737
1723,10.6304,0.0898,11737
1725,6.6685,0.1222,11737
1728,9.0613,0.0857,11737
1730,11.3757,0.0351,11737
1733,10.3558,0.0456,11737
1735,6.5508,-0.1212,11737
1738,7.7276,-0.0663,11737
1740,12.3956,-0.1575,11737
1743,9.6105,-0.0887,11737
1746,8.5514,-0.0883,11737
1748,8.0807,0.0688,11737
1751,12.5525,0.1749,11737
1753,10.5520,0.0795,11737
1756,9.0221,0.1056,11737
1758,7.8845,-0.0134,11737
1761,12.3564,0.0593,11737
1763,10.9442,-0.0938,11737
1766,8.4729,-0.0261,11737
1768,7.5315,-0.0978,11737
1771,12.2779,-0.1053,11737
1773,8.7868,-0.0632,11737
1776,7.2569,-0.0484,11737
1778,9.7674,0.1171,11737
1781,12.1602,0.0324,11737
1783,9.5713,0.1309,11737
1786,6.8647,0.1042,11737
1788,10.1597,0.0292,11737
1791,12.0426,0.0093,11737
1794,9.8067,-0.0835,11737
1796,6.7470,-0.0179,11737
1799,8.9829,-0.1386,11737
1801,11.1404,-0.0099,11737
1804,10.7089,-0.0599,11737
1806,7.3746,0.1139,11737
1809,7.6492,0.0812,11737
1811,12.6310,0.1280,11737
1814,10.3166,0.1305,11737
1816,8.5122,0.0084,11737
1819,7.8453,0.0315,11737
1821,13.4940,-0.1156,11737
1824,11.5718,-0.0236,11737
1826,10.0420,-0.1402,11737
1829,7.3354,-0.0700,11737
1831,12.1210,0.0177,11737
1834,11.7288,-0.0299,11737
1836,8.8652,0.0720,11737
1839,7.8453,0.0855,11737
1842,9.9243,0.1506,11737
1844,12.6702,0.0922,11737
1847,9.3359,0.1131,11737
1849,7.1785,0.0518,11737
1852,10.0028,-0.0375,11737
1854,12.5917,-0.0657,11737
1857,10.0812,-0.1002,11737
1859,7.8845,0.0188,11737
1862,10.3950,-0.0440,11737
1864,12.3564,0.1026,11737
1867,10.6304,0.1533,11737
1869,6.7470,0.1409,11737
1872,9.3359,0.1146,11737
1874,11.5326,0.0165,11737
1877,10.0420,0.0802,11737
1879,7.2569,-0.0729,11737
1882,7.3354,-0.0030,11737
1884,12.3564,-0.0730,11737
1887,10.0028,-0.0691,11737
1890,8.6299,-0.0554,11737
1892,8.0022,0.0818,11737
