# fs=395.8 rpm=10673
timestamp_ms,az,current_A,rpm
1650,4.7856,0.1229,10046
1652,16.2006,0.0758,10046
1655,11.9641,0.0645,10046
1657,6.2763,0.1444,10046
1660,15.2199,0.0261,10046
1662,-0.1177,-0.0326,10046
1665,16.9851,0.0658,10046
1667,4.8249,-0.0695,10046
1670,15.7691,-0.0191,10046
1672,10.0420,0.1655,10046
1675,6.1193,0.0767,10046
1677,14.7492,0.1515,10046
1680,0.4707,-0.0038,10046
1682,17.9658,-0.1188,10046
1685,5.0602,-0.0480,10046
1687,16.4752,-0.1296,10046
1690,9.6497,-0.0421,10046
1692,5.8448,0.0009,10046
1695,14.4746,-0.0312,10046
1698,-0.1177,0.0500,10046
1700,18.4757,-0.0195,10046
1703,5.0602,-0.1041,10046
1705,16.2790,0.0135,10046
1708,8.2768,-0.0832,10046
1710,6.1586,-0.0608,10046
1713,13.8470,0.1424,10046
1715,1.4122,0.0643,10046
1718,19.9271,0.1155,10046
1720,5.7663,0.0211,10046
1723,16.4359,-0.1492,10046
1725,8.3553,-0.1072,10046
1728,5.6094,-0.1015,10046
1730,12.7879,-0.0607,10046
1733,1.7260,0.1164,10046
1735,19.9271,0.0317,10046
1738,4.7464,0.0623,10046
1740,16.0829,0.0635,10046
1743,7.6492,-0.0858,10046
1746,5.6879,0.0010,10046
1748,12.5525,-0.0435,10046
1751,1.5691,-0.0859,10046
1753,19.3387,0.0760,10046
1756,4.0796,0.0660,10046
1758,15.9652,0.0660,10046
1761,7.0608,0.1568,10046
1763,5.6879,-0.0313,10046
1766,13.5724,-0.0710,10046
1768,2.4713,0.1410,10046
1771,19.8487,0.0742,10046
1773,3.4519,0.2088,10046
1776,15.4553,0.1227,10046
1778,6.0801,0.0658,10046
1781,13.5332,0.1292,10046
1783,2.5497,-0.0234,10046
1786,20.5940,-0.0094,10046
1788,4.1580,0.0437,10046
1791,14.9846,-0.0562,10046
1794,5.6094,0.0725,10046
1796,5.8448,0.1244,10046
1799,11.7288,0.0425,10046
1801,2.7851,0.0904,10046
1804,20.1232,-0.0276,10046
1806,3.2950,-0.1502,10046
1809,14.7492,-0.0073,10046
1811,5.4917,-0.0251,10046
1814,5.8448,0.0663,10046
1816,11.8072,0.1021,10046
1819,3.6481,0.0072,10046
1821,20.4371,0.0121,10046
1824,3.7265,-0.0380,10046
1826,15.2591,-0.1192,10046
1829,5.8448,0.0530,10046
1831,6.1193,-0.0464,10046
1834,12.3564,0.0169,10046
1836,4.4326,0.1529,10046
1839,20.4763,0.0229,10046
1842,3.1774,0.0509,10046
1844,15.7299,-0.0279,10046
1847,4.8249,-0.1706,10046
1849,6.8254,-0.0515,10046
1852,12.8663,0.0229,10046
1854,4.7072,0.0385,10046
1857,19.7702,0.1596,10046
1859,2.8243,0.0194,10046
1862,15.2199,-0.0468,10046
1864,3.9619,0.0210,10046
1867,7.1392,-0.0886,10046
1869,13.1017,0.0411,10046
1872,4.4718,0.0429,10046
1874,19.4564,0.0260,10046
1877,2.0790,0.1143,10046
1879,15.6514,-0.0086,10046
1882,3.6873,-0.0301,10046
1884,8.0415,0.0509,10046
1887,13.2586,-0.0978,10046
1890,5.6094,-0.0229,10046
1892,19.2210,0.1786,10046
1895,1.4514,0.1179,10046
1897,15.0238,0.2068,10046
1900,3.2166,0.0393,10560
1902,8.6299,-0.0894,10560
1905,13.4547,-0.0282,10560
1907,7.2569,-0.0977,10560
1910,19.6525,-0.0281,10560
1912,1.9613,0.0905,10560
1915,15.6122,0.0130,10560
1917,3.1381,0.0608,10560
1920,9.4536,0.0315,10560
1922,13.5724,-0.0745,10560
1925,6.6293,0.0374,10560
1927,0.9807,-0.0694,10560
1930,15.2984,-0.0223,10560
1932,2.5497,0.1751,10560
1935,10.8265,0.0849,10560
1938,13.5332,0.1657,10560
1940,6.2370,0.0468,10560
1943,17.5343,-0.1215,10560
1945,0.8238,-0.0993,10560
1948,14.6707,-0.0896,10560
1950,2.3536,-0.0917,10560
1953,11.3757,0.0887,10560
