# fs=395.8 rpm=11181
timestamp_ms,az,current_A,rpm
1650,9.7282,0.0296,10892
1652,6.1978,0.0162,10892
1655,12.0426,0.1165,10892
1657,10.7481,0.1737,10892
1660,9.9636,0.0878,10892
1662,8.2376,0.1048,10892
1665,8.7083,-0.0185,10892
1667,13.6901,0.0230,10892
1670,8.3553,-0.1429,10892
1672,9.6105,-0.0788,10892
1675,6.6685,-0.1603,10892
1677,12.9056,0.0260,10892
1680,10.9834,-0.1018,10892
1682,8.3553,0.0920,10892
1685,7.7669,0.0725,10892
1687,9.9636,0.0873,10892
1690,12.7094,0.0607,10892
1692,8.5906,-0.0005,10892
1695,8.9044,0.0102,10892
1698,7.3354,-0.0930,10892
1700,13.4155,-0.0985,10892
1703,9.2967,-0.0718,10892
1705,7.9238,0.0313,10892
1708,8.6299,-0.0019,10892
1710,10.6696,0.0547,10892
1713,12.8663,0.0382,10892
1715,7.6492,0.0876,10892
1718,8.5906,-0.0227,10892
1720,9.0221,-0.0133,10892
1723,13.2978,-0.1150,10892
1725,9.4536,-0.0439,10892
1728,8.6691,-0.1574,10892
1730,8.8260,-0.0212,10892
1733,11.1011,0.0116,10892
1735,12.7486,0.0558,10892
1738,7.4923,0.0672,10892
1740,8.9044,0.1096,10892
1743,9.2575,0.1247,10892
1746,13.2978,-0.0010,10892
1748,7.7276,-0.0261,10892
1751,9.4928,-0.1011,10892
1753,12.1995,-0.0491,10892
1756,11.4934,-0.1415,10892
1758,6.7862,-0.0489,10892
1761,9.7282,-0.0544,10892
1763,9.8851,0.0853,10892
1766,12.6310,0.0204,10892
1768,8.4729,0.1031,10892
1771,7.7669,0.0062,10892
1773,10.7873,0.0590,10892
1776,11.7288,-0.0888,10892
1778,10.9050,-0.0113,10892
1781,6.4332,-0.0649,10892
1783,10.3166,-0.0517,10892
1786,10.8265,-0.0314,10892
1788,12.6310,-0.0147,10892
1791,7.6100,0.1164,10892
1794,7.8845,0.0064,10892
1796,11.1404,0.0494,10892
1799,12.2779,-0.0931,10892
1801,11.8464,-0.0051,10892
1804,6.9039,-0.1446,10892
1806,8.8652,-0.0659,10892
1809,10.3558,-0.1695,10892
1811,13.1409,0.0188,10892
1814,8.5122,-0.0864,10892
1816,8.1199,0.1051,10892
1819,10.3166,0.0784,10892
1821,11.5718,0.1015,10892
1824,11.6895,0.0518,10892
1826,6.6685,0.0475,10892
1829,10.6696,0.0099,10892
1831,10.2774,-0.1038,10892
1834,12.5525,-0.0835,10892
1836,8.1591,-0.1224,10892
1839,7.5315,0.0484,10892
1842,10.7089,-0.0717,10892
1844,11.8857,0.0673,10892
1847,11.4149,0.0110,10892
1849,6.3155,0.0782,10892
1852,10.2774,0.0046,10892
1854,9.9636,0.0576,10892
1857,12.5525,-0.0456,10892
1859,7.9238,-0.0026,10892
1862,7.2569,-0.0876,10892
1864,11.2188,0.0244,10892
1867,11.8857,0.0752,10892
1869,11.3757,0.0517,10892
1872,6.7077,0.0905,10892
1874,10.7481,0.0993,10892
1877,10.8658,0.1160,10892
1879,12.0818,0.0060,10892
1882,7.0216,0.0170,10892
1884,7.7669,-0.0997,10892
1887,11.3757,-0.0238,10892
1890,10.1205,-0.1239,10892
1892,5.1387,-0.0025,10892
1895,10.7481,0.0137,10892
1897,10.7089,0.1138,10892
1900,11.3757,0.0714,11040
1902,6.8647,0.1837,11040
1905,8.7475,0.1198,11040
1907,11.7680,0.0569,11040
1910,10.6696,-0.0462,11040
1912,9.6105,-0.0410,11040
1915,5.2956,-0.0588,11040
1917,11.4934,-0.0858,11040
1920,10.2774,-0.0433,11040
1922,11.4934,-0.0242,11040
1925,7.0216,0.1155,11040
1927,8.4729,0.0265,11040
1930,12.0033,0.0796,11040
1932,10.8658,-0.0165,11040
1935,9.3359,0.0509,11040
1938,5.8840,-0.1055,11040
1940,11.6111,-0.0052,11040
1943,10.0420,-0.0983,11040
1945,11.4542,0.0362,11040
1948,6.6685,-0.0318,11040
1950,8.6691,0.1542,11040
1953,11.6503,0.1711,11040
1955,10.5912,0.1508,11040
1958,9.2967,0.0984,11040
1960,6.1193,0.0400,11040
1963,12.5133,0.0283,11040
1965,11.1011,-0.0848,11040
1968,11.7288,-0.0732,11040
1970,6.2763,-0.1124,11040
1973,10.1205,0.0452,11040
1975,12.3172,-0.0555,11040
1978,9.9243,0.0863,11040
1980,8.8260,0.0258,11040
1983,6.2763,0.0901,11040
1986,13.5724,0.0337,11040
1988,10.7481,0.0033,11040
1991,11.2580,-0.0545,11040
1993,6.1978,-0.0696,11040
1996,10.5127,-0.1211,11040
1998,11.4934,-0.0589,11040
