# fs=395.8 rpm=10907
timestamp_ms,az,current_A,rpm
1650,10.8265,-0.0534,10234
1652,10.9442,0.0104,10234
1655,11.0619,-0.0851,10234
1657,6.4724,-0.0087,10234
1660,9.8459,-0.1313,10234
1662,10.4343,0.0062,10234
1665,12.8663,0.0231,10234
1667,8.5906,0.0852,10234
1670,7.8845,0.0890,10234
1672,9.5321,0.1934,10234
1675,11.8857,0.1496,10234
1677,11.8072,0.0875,10234
1680,6.7077,-0.0097,10234
1682,8.7868,-0.0512,10234
1685,9.8067,-0.0184,10234
1687,12.5133,-0.1128,10234
1690,8.3945,-0.0375,10234
1692,7.1392,-0.0350,10234
1695,9.2575,0.1057,10234
1698,12.2387,0.0025,10234
1700,11.9641,0.0553,10234
1703,6.7862,-0.0691,10234
1705,8.9044,0.0035,10234
1708,9.2967,-0.1569,10234
1710,13.2586,-0.1005,10234
1713,8.7868,-0.1669,10234
1715,7.4138,-0.0116,10234
1718,9.6890,-0.1031,10234
1720,11.4149,0.0400,10234
1723,11.4934,-0.0135,10234
1725,7.5315,0.0887,10234
1728,8.6299,0.0149,10234
1730,9.1790,0.0697,10234
1733,13.7685,-0.0196,10234
1735,8.7868,-0.0511,10234
1738,7.6884,-0.1308,10234
1740,9.2183,-0.0234,10234
1743,11.1404,0.0176,10234
1746,12.3564,0.0315,10234
1748,7.9238,0.0544,10234
1751,8.7475,0.1053,10234
1753,8.9437,0.1106,10234
1756,13.0625,0.0132,10234
1758,8.2376,-0.0395,10234
1761,9.1398,-0.0844,10234
1763,11.0227,-0.0650,10234
1766,12.8271,-0.1315,10234
1768,7.9238,-0.0606,10234
1771,8.5122,-0.0532,10234
1773,8.8260,0.0935,10234
1776,13.1409,-0.0000,10234
1778,9.6497,0.0910,10234
1781,8.1984,-0.0178,10234
1783,9.4536,0.0759,10234
1786,11.5718,-0.0882,10234
1788,12.4741,-0.0003,10234
1791,7.8453,-0.1033,10234
1794,9.1006,0.0444,10234
1796,8.9044,-0.0385,10234
1799,13.7685,0.1243,10234
1801,10.0812,0.1183,10234
1804,8.3160,0.1563,10234
1806,9.4536,0.1128,10234
1809,11.5718,0.1092,10234
1811,12.9448,0.0584,10234
1814,7.9630,-0.0070,10234
1816,8.5906,-0.0678,10234
1819,9.1006,-0.0235,10234
1821,14.2000,0.0567,10234
1824,9.0221,0.0197,10234
1826,7.7669,0.0927,10234
1829,8.9437,0.0503,10234
1831,10.9442,0.1044,10234
1834,12.9448,0.0020,10234
1836,7.5315,-0.0020,10234
1839,8.1199,-0.0930,10234
1842,8.4337,-0.0468,10234
1844,13.2586,-0.1395,10234
1847,8.9829,-0.0393,10234
1849,7.9238,-0.0522,10234
1852,8.1591,0.0931,10234
1854,10.6696,0.0172,10234
1857,13.0232,0.0913,10234
1859,7.2569,-0.0542,10234
1862,8.5514,0.0385,10234
1864,8.3553,-0.1389,10234
1867,14.0039,-0.0499,10234
1869,10.1597,-0.1442,10234
1872,8.5906,0.0090,10234
1874,7.7669,-0.0503,10234
1877,9.9243,0.1332,10234
1879,12.3564,0.1507,10234
1882,7.9238,0.1250,10234
1884,9.1398,0.0986,10234
1887,7.4531,0.0645,10234
1890,13.1017,0.0341,10234
1892,10.2774,-0.0551,10234
1895,8.4337,-0.1067,10234
1897,7.8845,-0.0840,10234
1900,10.3166,0.0046,11280
1902,13.0232,-0.0161,11280
1905,8.4729,0.0525,11280
1907,6.3547,0.0416,11280
1910,13.0625,0.0963,11280
1912,9.9243,-0.0081,11280
1915,8.9437,0.0064,11280
1917,8.3945,-0.1054,11280
1920,10.0420,-0.0404,11280
1922,13.0232,-0.1785,11280
1925,8.4729,-0.0241,11280
1927,8.5122,-0.0562,11280
1930,6.9431,0.1118,11280
1932,13.3370,0.0678,11280
1935,10.3950,0.1637,11280
1938,8.8260,0.0871,11280
1940,8.0022,0.1082,11280
1943,9.4536,-0.0476,11280
1945,13.3763,0.0381,11280
1948,8.5514,-0.0419,11280
1950,8.8260,0.0012,11280
1953,6.9823,-0.0340,11280
1955,13.2978,0.1405,11280
1958,11.2580,0.1745,11280
1960,9.0221,0.1348,11280
1963,7.8061,0.1168,11280
1965,8.4337,0.0276,11280
1968,13.6901,0.0727,11280
1970,8.4729,-0.0903,11280
1973,10.0812,-0.0465,11280
1975,6.4724,-0.1098,11280
1978,12.5133,0.0329,11280
1981,10.9050,-0.0384,11280
1983,9.2575,0.0577,11280
1986,8.0415,0.0120,11280
1988,8.7868,0.0725,11280
1991,13.8470,-0.0198,11280
1993,9.2967,0.0173,11280
1996,10.0028,-0.1033,11280
1998,5.9232,-0.0327,11280
2001,12.5525,-0.1531,11280
2003,10.8658,-0.0051,11280
2006,9.5713,-0.0459,11280
2008,8.5514,0.1317,11280
2011,8.5514,0.0873,11280
2013,13.7685,0.1914,11280
2016,9.4928,0.1296,11280
2018,9.6497,0.0979,11280
2021,6.2370,-0.0080,11280
2023,12.9840,-0.0047,11280
2026,11.3365,-0.0279,11280
2029,9.6497,-0.0418,11280
2031,8.0807,-0.0223,11280
2034,8.1984,0.0812,11280
2036,13.8470,0.1581,11280
2039,9.3359,0.0876,11280
2041,10.0420,0.0982,11280
2044,6.3155,0.0072,11280
2046,12.4348,0.0488,11280
2049,11.0619,-0.0896,11280
2051,7.8061,-0.0727,11280
2054,8.3945,-0.1394,11280
2056,13.4155,-0.0006,11280
2059,9.5713,-0.0755,11280
2061,10.5912,0.0700,11280
2064,6.3939,0.0408,11280
2066,12.2387,0.1276,11280
2069,11.4542,0.0688,11280
2071,9.6890,0.1247,11280
2074,8.2376,0.0317,11280
2077,8.3945,0.0893,11280
2079,13.4940,-0.0539,11280
2082,9.0613,0.0890,11280
2084,9.8851,0.0745,11280
2087,6.0801,0.1387,11280
2089,12.3956,0.1135,11280
2092,11.2973,0.2026,11280
2094,9.7674,0.1580,11280
2097,8.3945,0.1058,11280
2099,7.4923,-0.0007,11280
2102,13.7685,-0.0324,11280
2104,10.1205,-0.0365,11280
2107,10.0028,-0.0831,11280
2109,6.3939,-0.0306,11280
2112,12.3956,-0.0323,11280
2114,11.7288,0.0923,11280
2117,9.8851,-0.0115,11280
2119,7.9630,0.0551,11280
2122,7.0608,-0.0875,11280
2125,13.6901,-0.0004,11280
2127,9.8459,-0.1726,11280
2130,10.9050,-0.0916,11280
2132,6.2370,-0.1659,11280
2135,10.8265,-0.0088,11280
2137,11.7680,-0.1046,11280
2140,10.2774,0.0603,11280
2142,8.7868,0.0246,11280
2145,8.0807,0.1237,11280
2147,13.8862,0.0485,11280
2150,10.0420,0.1068,11280
2152,10.8265,0.0087,11280
2155,6.0017,0.0461,11280
2157,11.0227,-0.0592,11280
2160,12.2387,0.0034,11280
2162,9.7282,0.0580,11280
2165,8.7475,0.0312,11280
2167,7.0216,0.0810,11280
2170,13.5332,0.1180,11280
2173,10.5912,0.1103,11280
2175,11.3757,0.0319,11280
2178,5.9624,-0.0426,11280
2180,10.1597,-0.0575,11280
2183,11.8464,-0.0585,11280
2185,9.9243,-0.1155,11280
2188,9.0613,-0.0731,11280
2190,6.8254,-0.0286,11280
2193,13.2978,0.0824,11280
2195,10.5912,-0.0121,11280
2198,11.1796,0.0363,11280
2200,9.8851,-0.0807,11280
2203,11.8464,-0.0024,11280
2205,10.0028,-0.1684,11280
2208,8.9829,-0.1011,11280
2210,6.1978,-0.1922,11280
2213,13.1409,-0.0168,11280
2215,10.6304,-0.0860,11280
2218,11.2188,0.0866,11280
2221,6.2370,0.0672,11280
2223,8.6691,0.1541,11280
2226,11.7680,0.0796,11280
2228,10.7481,0.1325,11280
2231,9.4144,0.0214,11280
2233,7.0608,0.0406,11280
2236,13.0232,-0.0777,11280
2238,10.8265,0.0662,11280
2241,11.7680,0.0630,11280
2243,6.4724,0.1054,11280
2246,9.0221,0.1055,11280
2248,12.3172,0.1957,11280
2251,10.9834,0.1620,11280
2253,10.1205,0.0464,11280
2256,6.7470,-0.0107,11280
2258,12.5525,-0.0768,11280
2261,10.9050,-0.0200,11280
2263,11.8857,-0.1115,11280
2266,6.5901,-0.0306,11280
2269,8.7868,-0.0552,11280
2271,11.4149,0.0931,11280
2274,10.2774,0.0023,11280
2276,9.7674,0.0812,11280
2279,6.3547,-0.0641,11280
2281,12.0426,0.0091,11280
2284,10.4343,-0.1534,11280
2286,11.2188,-0.0864,11280
2289,6.5901,-0.1628,11280
2291,8.0807,-0.0068,11280
2294,11.4934,-0.0938,11280
2296,11.0619,0.0825,11280
2299,10.5520,0.0691,11280
2301,6.6685,0.1138,11280
2304,12.0818,0.0891,11280
2306,10.2381,0.0753,11280
2309,11.1404,0.0453,11280
2312,6.4724,-0.0469,11280
2314,7.9630,-0.0893,11280
2317,12.0426,-0.0502,11280
2319,11.0227,-0.0177,11280
2322,9.9636,-0.0017,11280
2324,6.2370,0.0366,11280
2327,11.8072,0.0986,11280
2329,10.3558,0.0971,11280
2332,11.5326,-0.0015,11280
2334,6.7862,-0.0442,11280
2337,8.5514,-0.0727,11280
2339,12.3956,-0.0583,11280
2342,10.8265,-0.1160,11280
2344,9.8851,-0.0552,11280
2347,6.1193,-0.0298,11280
2349,11.2973,0.1134,11280
2352,11.4542,0.0241,11280
2354,6.4332,0.0802,11280
2357,8.2768,-0.0447,11280
2360,11.7288,0.0419,11280
2362,10.7481,-0.1190,11280
2365,10.8658,-0.0350,11280
2367,6.6293,-0.1216,11280
2370,11.8072,0.0334,11280
2372,10.7089,-0.0524,11280
2375,11.7288,0.1275,11280
2377,7.2177,0.1046,11280
2380,8.7475,0.1604,11280
2382,12.0033,0.0941,11280
2385,11.5718,0.1442,11280
2387,10.7481,0.0555,11280
2390,6.0409,0.0454,11280
2392,11.3757,-0.0618,11280
2395,9.9636,0.1038,11280
2397,11.2580,0.1211,11280
2400,7.3354,0.1058,10800
2402,8.1591,0.1267,10800
2405,11.8072,0.1341,10800
2408,11.8072,0.1521,10800
2410,10.7873,0.0216,10800
2413,6.3547,0.0049,10800
2415,10.9442,-0.0754,10800
2418,10.3558,-0.0155,10800
2420,12.1210,-0.1057,10800
2423,6.9039,-0.0139,10800
2425,7.3354,-0.0201,10800
2428,11.1011,0.1230,10800
2430,10.5912,0.0309,10800
2433,10.4735,0.0814,10800
2435,6.5116,-0.0672,10800
2438,10.1205,0.0222,10800
2440,10.6304,-0.1469,10800
2443,12.4741,-0.0691,10800
2445,7.2177,-0.1696,10800
2448,7.3746,0.0043,10800
2450,11.1011,-0.0529,10800
2453,11.0227,0.1244,10800
2456,11.0619,0.1386,10800
2458,6.4724,0.1181,10800
2461,10.1205,0.0855,10800
2463,10.9834,0.0461,10800
2466,12.5133,0.0067,10800
2468,7.6492,-0.0653,10800
2471,7.8061,-0.1298,10800
2473,10.8658,-0.0637,10800
2476,11.2188,-0.0134,10800
2478,11.1404,-0.0086,10800
2481,6.5116,0.0439,10800
2483,10.0812,0.0715,10800
2486,10.4343,0.0891,10800
2488,12.7094,-0.0365,10800
2491,8.1199,-0.0537,10800
2493,7.7276,-0.1388,10800
2496,11.3365,-0.0629,10800
2498,11.1011,-0.1951,10800
2501,6.1978,-0.0473,10800
2504,9.6890,-0.0982,10800
2506,10.0028,0.0553,10800
2509,12.6310,0.0002,10800
2511,8.5906,0.1042,10800
2514,7.9238,0.0071,10800
2516,10.2774,0.1023,10800
2519,12.1602,-0.0716,10800
2521,12.0426,0.0119,10800
2524,7.3746,-0.0949,10800
2526,9.5321,0.0411,10800
2529,10.3166,-0.0374,10800
2531,13.3370,0.1475,10800
2534,7.9238,0.1406,10800
2536,7.1000,0.1635,10800
2539,9.6105,0.1176,10800
2541,12.3172,0.0956,10800
2544,12.1602,0.0847,10800
2546,7.0608,-0.0304,10800
2549,8.4337,-0.0393,10800
2552,9.4536,-0.0515,10800
2554,12.9448,0.0440,10800
2557,8.5906,0.0121,10800
2559,7.5707,0.0830,10800
2562,9.3752,0.0754,10800
2564,11.5326,0.1172,10800
2567,12.1602,-0.0001,10800
2569,6.8254,-0.0078,10800
2572,9.0221,-0.0854,10800
2574,9.1790,-0.0339,10800
2577,13.4155,-0.1305,10800
2579,9.8067,-0.0349,10800
2582,8.2376,-0.0589,10800
2584,9.3359,0.0952,10800
2587,11.5326,0.0256,10800
2589,11.6895,0.1246,10800
2592,7.8845,0.0244,10800
2594,8.6299,0.0445,10800
2597,8.9437,-0.1057,10800
2600,13.2194,-0.0119,10800
2602,8.7868,-0.0870,10800
2605,7.8453,-0.0489,10800
2607,9.1006,-0.0852,10800
