# fs=395.8 rpm=11256
timestamp_ms,az,current_A,rpm
1650,12.5525,0.0147,10234
1652,9.2967,-0.0688,10234
1655,7.2177,0.0674,10234
1657,8.2376,0.0015,10234
1660,12.8271,0.1290,10234
1662,9.9243,0.1179,10234
1665,7.3354,0.1692,10234
1667,8.0415,0.0939,10234
1670,11.2188,0.0965,10234
1672,12.0033,0.0288,10234
1675,8.7868,-0.0477,10234
1677,8.1984,-0.0591,10234
1680,11.7288,-0.0858,10234
1682,12.4741,0.0438,10234
1685,9.3752,-0.0127,10234
1687,7.2961,0.1052,10234
1690,10.4343,0.1453,10234
1692,12.1210,0.1455,10234
1695,10.4735,0.0966,10234
1698,6.6685,0.0491,10234
1700,9.1790,0.0382,10234
1703,11.7288,-0.0939,10234
1705,10.9834,-0.0696,10234
1708,8.2376,-0.1359,10234
1710,7.8061,0.0096,10234
1713,12.7486,-0.0659,10234
1715,11.2188,0.0607,10234
1718,9.4928,0.0441,10234
1720,6.6685,0.0993,10234
1723,11.9249,0.0344,10234
1725,11.5718,0.0231,10234
1728,10.8658,-0.0094,10234
1730,7.2569,-0.1246,10234
1733,10.1205,-0.1173,10234
1735,13.1409,-0.2130,10234
1738,10.0028,-0.0539,10234
1740,8.1591,-0.1101,10234
1743,8.1199,0.0361,10234
1746,12.8271,0.0546,10234
1748,10.3558,0.0847,10234
1751,8.8260,0.0292,10234
1753,7.1000,0.0481,10234
1756,12.2387,0.0014,10234
1758,11.7288,-0.0847,10234
1761,9.1398,-0.0912,10234
1763,7.5315,-0.1111,10234
1766,9.6105,0.0013,10234
1768,9.2967,-0.0723,10234
1771,8.9829,0.0389,10234
1773,9.1006,0.0079,10234
1776,12.5917,0.0953,10234
1778,10.2381,0.0376,10234
1781,7.9238,0.0905,10234
1783,8.5906,0.0198,10234
1786,11.9641,-0.0828,10234
1788,11.0227,-0.0811,10234
1791,8.0415,-0.1189,10234
1794,8.1199,0.0104,10234
1796,11.1404,-0.0457,10234
1799,12.6702,0.0576,10234
1801,9.8459,0.0206,10234
1804,7.2177,0.1172,10234
1806,10.7481,0.0320,10234
1809,12.1995,0.0818,10234
1811,10.1989,-0.0398,10234
1814,7.2569,-0.0524,10234
1816,8.7868,-0.1135,10234
1819,11.7680,-0.0732,10234
1821,11.9641,0.0061,10234
1824,7.7669,-0.0317,10234
1826,6.8254,0.0636,10234
1829,12.1210,0.0074,10234
1831,10.9834,0.0962,10234
1834,9.8067,0.0227,10234
1836,6.8647,0.0856,10234
1839,10.7481,-0.0144,10234
1842,11.3365,-0.0354,10234
1844,9.5713,-0.0911,10234
1847,6.7470,-0.0522,10234
1849,8.3553,0.0207,10234
1852,12.1602,0.0055,10234
1854,9.7282,0.0763,10234
1857,8.1984,0.0260,10234
1859,7.7276,0.0989,10234
1862,13.0625,-0.0044,10234
1864,10.9834,0.0502,10234
1867,9.8459,-0.0739,10234
1869,7.2961,0.0036,10234
1872,11.1796,-0.0861,10234
1874,12.0426,-0.0493,10234
1877,9.7674,0.0414,10234
1879,8.0022,-0.0173,10234
1882,9.8851,0.0817,10234
1884,12.9056,0.0162,10234
1887,9.6105,0.1063,10234
1890,8.2376,0.0045,10234
1892,8.0415,0.0480,10234
1895,12.5133,-0.0823,10234
1897,10.7481,0.0088,10234
1900,7.2569,-0.0889,11520
1902,7.8061,0.0242,11520
1905,11.4542,0.0542,11520
1907,12.0033,0.0576,11520
1910,8.1199,0.0951,11520
1912,7.2961,0.0792,11520
1915,9.6497,0.1344,11520
1917,9.0613,0.0211,11520
1920,7.4923,0.0562,11520
1922,9.4144,-0.0858,11520
1925,11.8464,-0.0091,11520
1927,10.8265,-0.0871,11520
1930,6.7470,-0.0188,11520
1932,9.0221,0.0341,11520
1935,11.9641,0.0319,11520
1938,11.2973,0.0759,11520
1940,8.2376,0.0884,11520
1943,7.2569,0.1317,11520
1945,11.3757,-0.0112,11520
1948,11.2580,0.0072,11520
1950,9.6890,-0.0876,11520
1953,6.8647,-0.0009,11520
1955,10.9442,-0.1409,11520
1958,11.5718,-0.0135,11520
1960,10.0812,-0.0386,11520
1963,6.7470,0.1414,11520
1965,7.5707,0.1310,11520
1968,12.5133,0.1934,11520
1970,10.7873,0.1968,11520
1973,9.2575,0.0442,11520
1975,7.6492,0.0399,11520
1978,12.7879,-0.0781,11520
1980,10.9834,0.0078,11520
1983,9.4928,-0.1230,11520
1986,6.3547,0.0121,11520
1988,10.6696,0.0159,11520
1991,12.5525,0.1557,11520
1993,9.2575,0.1445,11520
1996,7.3746,0.1937,11520
1998,8.2768,0.2016,11520
2001,12.5133,0.0496,11520
2003,9.9636,0.0334,11520
2006,8.2768,-0.0529,11520
2008,7.9238,0.0031,11520
2011,13.0625,-0.1394,11520
2013,10.7873,-0.0228,11520
2016,8.2768,-0.0549,11520
2018,7.4531,0.0785,11520
2021,10.9442,0.0736,11520
2023,12.5525,0.1048,11520
2026,8.4337,0.1626,11520
2028,6.8254,0.0164,11520
2031,9.5321,0.0248,11520
2034,12.2779,-0.0909,11520
2036,10.5912,-0.0247,11520
2039,7.6100,-0.1617,11520
2041,9.2575,-0.0430,11520
2044,12.2387,-0.0728,11520
2046,10.9050,0.1078,11520
2049,6.8254,0.0665,11520
2051,8.8652,0.1451,11520
2054,11.3757,0.1289,11520
2056,11.3757,0.0133,11520
2059,8.1591,-0.0106,11520
2061,6.8647,-0.0857,11520
2064,12.1210,-0.0124,11520
2066,10.9834,-0.1323,11520
2069,7.2177,-0.0324,11520
2071,11.7288,-0.0703,11520
2074,10.6696,0.0752,11520
2076,10.3166,0.0565,11520
2079,6.8254,0.1092,11520
2082,9.2575,0.1180,11520
2084,12.3564,-0.0085,11520
2087,9.8067,-0.0480,11520
2089,8.8260,-0.0966,11520
2092,8.3945,-0.0386,11520
2094,13.1017,-0.1350,11520
2097,11.1796,-0.0288,11520
2099,9.6497,-0.0672,11520
2102,7.0608,0.1131,11520
2104,11.2580,0.0573,11520
2107,11.8464,0.1347,11520
2109,9.5321,0.0796,11520
2112,7.9238,0.0157,11520
2114,8.3160,-0.0470,11520
2117,12.9056,-0.0781,11520
2119,9.8851,-0.0393,11520
2122,8.7083,-0.1205,11520
2124,8.2376,-0.0250,11520
2127,12.8663,-0.0692,11520
2130,11.5326,0.1075,11520
2132,8.4729,0.0624,11520
2135,7.6492,0.1507,11520
2137,11.1796,0.1082,11520
2140,12.0033,0.0244,11520
2142,8.3945,-0.0507,11520
2145,7.4531,-0.0617,11520
2147,9.2183,-0.0501,11520
2150,12.3564,-0.1023,11280
2152,9.8459,-0.0448,11280
2155,6.6293,-0.0599,11280
2157,9.3752,0.0827,11280
2160,11.7288,-0.0090,11280
2162,11.4934,0.0587,11280
2165,7.5707,-0.0085,11280
2167,8.0415,-0.0069,11280
2170,11.1011,-0.1146,11280
2172,12.5917,-0.1219,11280
2175,9.2967,-0.0823,11280
2178,7.4138,-0.1441,11280
2180,11.2188,-0.0678,11280
2183,12.1602,-0.0723,11280
2185,10.8265,0.0598,11280
2188,6.9431,-0.0279,11280
2190,8.9437,0.0407,11280
2193,12.1602,-0.0264,11280
2195,11.9249,0.0400,11280
2198,9.1398,-0.0918,11280
2200,7.3746,-0.0057,11280
2203,10.6696,-0.0653,11280
2205,11.7288,-0.0329,11280
2208,10.7089,-0.0276,11280
2210,6.2370,0.0684,11280
2213,11.4934,0.1572,11280
2215,10.3558,0.0438,11280
2218,7.6884,0.0690,11280
2220,7.6884,-0.0488,11280
2223,12.3564,0.0223,11280
2226,11.1404,-0.1022,11280
2228,8.9829,-0.0342,11280
2231,7.1000,-0.0797,11280
2233,11.7288,-0.0635,11280
2236,10.9442,-0.0529,11280
2238,10.1205,0.0443,11280
2241,6.9431,0.1197,11280
2243,8.2376,0.0296,11280
2246,12.4741,0.0458,11280
2248,9.4928,-0.0633,11280
2251,8.9044,-0.0110,11280
2253,7.3746,-0.1455,11280
2256,12.6702,-0.0671,11280
2258,12.1210,-0.1521,11280
2261,10.3166,-0.0537,11280
2263,7.0216,-0.0538,11280
2266,10.6696,0.0906,11280
2268,11.9641,0.2021,11280
2271,9.1006,0.1147,11280
2274,7.8061,0.1175,11280
2276,8.2768,-0.0004,11280
2279,12.7486,0.0419,11280
2281,9.6497,-0.1130,11280
2284,8.3945,-0.0480,11280
2286,8.1591,-0.1365,11280
2289,12.2779,0.0007,11280
2291,11.1404,-0.0670,11280
2294,8.7475,0.0872,11280
2296,7.1785,0.1019,11280
2299,9.7674,0.1125,11280
2301,11.7680,0.0620,11280
2304,8.5906,0.0237,11280
2306,7.8061,0.0166,11280
2309,9.4144,-0.1136,11280
2311,13.2194,-0.0746,11280
2314,10.1989,-0.1447,11280
2316,7.5707,0.0048,11280
2319,8.0807,-0.0452,11280
2322,11.7288,0.1103,11280
2324,11.4149,0.1359,11280
2327,8.5514,0.1179,11280
2329,7.8845,0.0751,11280
2332,11.0619,0.0420,11280
2334,12.7094,0.0184,11280
2337,9.4144,-0.0905,11280
2339,6.9039,-0.0863,11280
2342,10.2774,-0.1403,11280
2344,11.9249,-0.0085,11280
2347,10.6696,-0.0885,11280
2349,7.1000,0.0317,11280
2352,9.0221,0.0116,11280
2354,12.1602,0.1180,11280
2357,9.3359,0.0406,11280
2359,7.6492,0.0689,11280
2362,11.3757,0.0073,11280
2364,11.3757,-0.0738,11280
2367,10.3950,-0.0637,11280
2370,6.7470,-0.1138,11280
2372,10.7481,0.0251,11280
2375,11.6895,-0.0586,11280
2377,9.9243,0.0453,11280
2380,7.1392,0.0088,11280
2382,8.0022,0.0922,11280
2385,12.2779,0.0238,11280
2387,10.7089,0.0742,11280
2390,8.5122,-0.0189,11280
2392,7.2961,-0.0516,11280
2395,12.6702,-0.0997,11280
2397,11.1011,-0.0687,11280
2400,10.0812,0.0093,12000
2402,7.3354,-0.0309,12000
2405,11.1011,0.0577,12000
2407,12.7094,-0.0015,12000
2410,9.6105,0.0892,12000
2413,7.9238,-0.0015,12000
2415,8.7083,0.0585,12000
2418,12.0818,-0.0459,12000
2420,9.4536,-0.0792,12000
2423,8.5122,-0.1257,12000
2425,7.2961,-0.0908,12000
2428,12.3172,0.0042,12000
2430,11.4149,-0.0359,12000
2433,8.6691,0.0443,12000
2435,8.1984,-0.0194,12000
2438,10.3166,0.0688,12000
2440,12.7486,-0.0339,12000
2443,9.6105,0.0245,12000
2445,7.9630,-0.1010,12000
2448,9.2575,-0.0273,12000
2450,12.5917,-0.1189,12000
2453,10.3166,-0.0399,12000
2455,8.5122,0.0246,12000
2458,8.6691,0.0409,12000
2461,11.6895,0.1142,12000
2463,11.9249,0.0955,12000
2466,8.1199,0.1599,12000
2468,7.7276,0.0592,12000
2471,11.3365,0.1062,12000
2473,11.7288,-0.0459,12000
2476,9.3359,0.0359,12000
2478,7.0608,-0.0776,12000
2481,10.9050,0.0409,12000
2483,12.0033,0.0574,12000
2486,10.0028,0.0792,12000
2488,6.5901,0.0906,12000
2491,9.6105,0.1074,12000
2493,11.6503,0.1322,12000
2496,10.5912,-0.0166,12000
2498,7.6884,0.0091,12000
2501,7.6492,-0.1108,12000
2503,12.4348,-0.0246,12000
2506,9.2575,-0.1348,12000
2509,9.3359,-0.0123,12000
2511,11.8857,0.0095,12000
2514,12.0033,0.0294,12000
2516,10.6696,0.0606,12000
2519,7.3354,0.0709,12000
2521,10.3950,0.1063,12000
2524,12.7486,-0.0327,12000
2526,9.6890,-0.0157,12000
2529,8.4729,-0.1155,12000
2531,8.2376,-0.0233,12000
2534,13.2586,-0.1619,12000
2536,11.0227,-0.0497,12000
2539,8.9829,-0.0804,12000
2541,6.9039,0.0797,12000
2544,11.1796,0.0596,12000
2546,10.9050,0.1517,12000
2549,8.9829,0.1397,12000
2551,7.4923,0.0231,12000
2554,9.4536,-0.0107,12000
2557,13.0232,-0.0839,12000
2559,9.2183,-0.0062,12000
2562,7.7669,-0.1284,12000
2564,7.7669,-0.0068,12000
2567,12.1602,-0.0381,12000
2569,10.8265,0.1281,12000
2572,7.5707,0.0844,12000
2574,7.9238,0.1852,12000
2577,11.2973,0.1597,12000
2579,11.9641,0.0545,12000
2582,8.0415,-0.0043,12000
2584,7.5315,-0.0327,12000
2587,9.7674,-0.0013,12000
2589,12.7879,-0.0909,12000
2592,9.9243,-0.0161,12000
2594,6.7470,-0.0617,12000
2597,8.7475,0.1035,12000
2599,11.1011,0.0367,12000
2602,11.6895,0.1087,12000
2605,8.0022,0.0738,12000
2607,7.9630,0.0121,12000
2610,11.3365,-0.0416,12000
2612,11.9249,-0.0866,12000
2615,9.1006,-0.0294,12000
2617,7.2177,-0.1070,12000
2620,10.7481,-0.0291,12000
2622,11.3757,-0.0316,12000
2625,10.9442,0.1081,12000
2627,6.3155,0.0126,12000
2630,9.3359,0.0692,12000
2632,11.6895,0.0004,12000
2635,10.7089,0.0680,12000
2637,8.0022,-0.0745,12000
2640,8.0415,0.0063,12000
2642,12.2779,-0.0302,12000
2645,11.1011,-0.0377,12000
2647,9.4928,0.0023,12000
2650,6.7077,0.0220,11040
2653,12.3172,0.1471,11040
2655,10.9834,0.0581,11040
2658,6.9431,0.1131,11040
# fs=395.8 rpm=11105
timestamp_ms,az,current_A,rpm
2804,12.3172,0.2129,0
2806,10.2381,0.1800,0
2809,8.0415,0.2076,0
2811,8.5514,0.2043,0
2814,12.8663,0.1740,0
2816,9.2967,0.2123,0
2819,8.6299,0.0854,0
2821,6.7077,0.1050,0
2824,11.3757,-0.0338,0
2826,11.4934,0.0500,0
2829,8.7868,-0.0826,0
2831,7.1785,0.0177,0
2834,9.8851,-0.0081,0
2836,11.9641,0.1242,0
2839,8.8652,0.1046,0
2841,7.8845,0.1723,0
2844,8.9437,0.1697,0
2846,10.3558,0.0303,0
2849,7.8845,-0.0066,0
2852,9.2183,-0.0679,0
2854,11.1011,0.0034,0
2857,11.5718,-0.1202,0
2859,8.9044,-0.0116,0
2862,7.9238,-0.0239,0
2864,11.2188,0.0794,0
2867,12.1995,0.0861,0
2869,9.1398,0.1134,0
2872,6.8647,0.1425,0
2874,10.0420,-0.0091,0
2877,11.6503,-0.0172,0
2879,10.3166,-0.1018,0
2882,6.4332,-0.0254,0
2884,9.1790,-0.1440,0
2887,11.8072,-0.0430,0
2889,10.9050,-0.0800,0
2892,7.8453,0.1082,0
2894,7.5707,0.0727,0
2897,12.2779,0.1752,0
2900,11.7288,0.1578,11280
2902,9.6890,0.0261,11280
2905,6.6685,-0.0023,11280
2907,12.0033,-0.0846,11280
2910,11.6895,-0.0107,11280
2912,10.5127,-0.1512,11280
2915,7.4138,-0.0275,11280
2917,9.6890,-0.0570,11280
2920,13.2978,0.1244,11280
2922,9.6890,0.1009,11280
2925,8.0807,0.1927,11280
2927,8.0022,0.1667,11280
2930,12.1602,0.0474,11280
2932,10.1597,0.0027,11280
2935,9.4928,-0.0561,11280
2937,6.7862,-0.0094,11280
2940,11.8072,-0.1083,11280
2942,11.5718,-0.0315,11280
2945,8.9044,-0.0787,11280
2948,7.6492,0.0962,11280
2950,9.9243,0.0678,11280
2953,12.7094,0.1396,11280
2955,9.4536,0.1419,11280
2958,7.8061,0.0289,11280
2960,8.8652,0.0060,11280
2963,12.7094,-0.0749,11280
2965,10.3558,-0.0045,11280
2968,8.0022,-0.1302,11280
2970,8.7868,-0.0038,11280
2973,11.2973,-0.0414,11280
2975,11.7288,0.1298,11280
2978,7.7276,0.0957,11280
2980,7.4531,0.1810,11280
